Route_Number,Route_Name,Ridership_Total,Week_Range,Route_Date,ObjectId
FerryHD,Halifax to Dartmouth,488,2017.03.12 - 2017.03.18,3/12/2017 10:00:00 AM,2861
FerryHD,Halifax to Dartmouth,1339,2019.12.08 - 2019.12.14,12/12/2019 10:00:00 AM,2862
FerryHW,Halifax to Woodside,0,2019.03.31 - 2019.04.06,3/31/2019 10:00:00 AM,2863
FerryHW,Halifax to Woodside,0,2017.03.12 - 2017.03.18,3/12/2017 10:00:00 AM,2864
FerryHW,Halifax to Woodside,1257,2019.12.08 - 2019.12.14,12/12/2019 10:00:00 AM,2865
FerryWH,Woodside to Halifax,0,2019.03.31 - 2019.04.06,3/31/2019 10:00:00 AM,2866
FerryWH,Woodside to Halifax,0,2017.03.12 - 2017.03.18,3/12/2017 10:00:00 AM,2867
FerryWH,Woodside to Halifax,1176,2019.12.08 - 2019.12.14,12/12/2019 10:00:00 AM,2868
FerryDH,Dartmouth to Halifax,1157,2019.03.31 - 2019.04.06,4/1/2019 10:00:00 AM,2869
FerryDH,Dartmouth to Halifax,1271,2017.03.12 - 2017.03.18,3/13/2017 10:00:00 AM,2870
FerryDH,Dartmouth to Halifax,1580,2019.12.08 - 2019.12.14,12/13/2019 10:00:00 AM,2871
FerryHD,Halifax to Dartmouth,1283,2019.03.31 - 2019.04.06,4/1/2019 10:00:00 AM,2872
FerryHD,Halifax to Dartmouth,1523,2017.03.12 - 2017.03.18,3/13/2017 10:00:00 AM,2873
FerryHD,Halifax to Dartmouth,1608,2019.12.08 - 2019.12.14,12/13/2019 10:00:00 AM,2874
FerryHW,Halifax to Woodside,1033,2017.03.12 - 2017.03.18,3/13/2017 10:00:00 AM,2875
FerryHW,Halifax to Woodside,1065,2019.03.31 - 2019.04.06,4/1/2019 10:00:00 AM,2876
FerryHW,Halifax to Woodside,1186,2019.12.08 - 2019.12.14,12/13/2019 10:00:00 AM,2877
FerryWH,Woodside to Halifax,957,2017.03.12 - 2017.03.18,3/13/2017 10:00:00 AM,2878
FerryWH,Woodside to Halifax,1054,2019.03.31 - 2019.04.06,4/1/2019 10:00:00 AM,2879
FerryWH,Woodside to Halifax,1029,2019.12.08 - 2019.12.14,12/13/2019 10:00:00 AM,2880
FerryDH,Dartmouth to Halifax,1220,2017.03.12 - 2017.03.18,3/14/2017 10:00:00 AM,2881
FerryDH,Dartmouth to Halifax,1638,2019.03.31 - 2019.04.06,4/2/2019 10:00:00 AM,2882
FerryDH,Dartmouth to Halifax,500,2019.12.08 - 2019.12.14,12/14/2019 10:00:00 AM,2883
FerryHD,Halifax to Dartmouth,1480,2017.03.12 - 2017.03.18,3/14/2017 10:00:00 AM,2884
FerryHD,Halifax to Dartmouth,1699,2019.03.31 - 2019.04.06,4/2/2019 10:00:00 AM,2885
FerryHD,Halifax to Dartmouth,413,2019.12.08 - 2019.12.14,12/14/2019 10:00:00 AM,2886
FerryHW,Halifax to Woodside,1062,2017.03.12 - 2017.03.18,3/14/2017 10:00:00 AM,2887
FerryHW,Halifax to Woodside,1238,2019.03.31 - 2019.04.06,4/2/2019 10:00:00 AM,2888
FerryHW,Halifax to Woodside,969,2019.12.08 - 2019.12.14,12/14/2019 10:00:00 AM,2889
FerryWH,Woodside to Halifax,983,2017.03.12 - 2017.03.18,3/14/2017 10:00:00 AM,2890
FerryWH,Woodside to Halifax,1227,2019.03.31 - 2019.04.06,4/2/2019 10:00:00 AM,2891
FerryWH,Woodside to Halifax,0,2019.12.08 - 2019.12.14,12/14/2019 10:00:00 AM,2892
FerryDH,Dartmouth to Halifax,1442,2017.03.12 - 2017.03.18,3/15/2017 10:00:00 AM,2893
FerryDH,Dartmouth to Halifax,885,2019.03.31 - 2019.04.06,4/3/2019 10:00:00 AM,2894
FerryDH,Dartmouth to Halifax,425,2019.12.15 - 2019.12.21,12/15/2019 10:00:00 AM,2895
FerryHD,Halifax to Dartmouth,1565,2017.03.12 - 2017.03.18,3/15/2017 10:00:00 AM,2896
FerryHD,Halifax to Dartmouth,1004,2019.03.31 - 2019.04.06,4/3/2019 10:00:00 AM,2897
FerryHD,Halifax to Dartmouth,433,2019.12.15 - 2019.12.21,12/15/2019 10:00:00 AM,2898
FerryHW,Halifax to Woodside,1018,2017.03.12 - 2017.03.18,3/15/2017 10:00:00 AM,2899
FerryHW,Halifax to Woodside,983,2019.03.31 - 2019.04.06,4/3/2019 10:00:00 AM,2900
FerryHW,Halifax to Woodside,0,2019.12.15 - 2019.12.21,12/15/2019 10:00:00 AM,2901
FerryWH,Woodside to Halifax,917,2017.03.12 - 2017.03.18,3/15/2017 10:00:00 AM,2902
FerryWH,Woodside to Halifax,928,2019.03.31 - 2019.04.06,4/3/2019 10:00:00 AM,2903
FerryWH,Woodside to Halifax,0,2019.12.15 - 2019.12.21,12/15/2019 10:00:00 AM,2904
FerryDH,Dartmouth to Halifax,1572,2017.03.12 - 2017.03.18,3/16/2017 10:00:00 AM,2905
FerryDH,Dartmouth to Halifax,1264,2019.03.31 - 2019.04.06,4/4/2019 10:00:00 AM,2906
FerryDH,Dartmouth to Halifax,1061,2019.12.15 - 2019.12.21,12/16/2019 10:00:00 AM,2907
FerryHD,Halifax to Dartmouth,1785,2017.03.12 - 2017.03.18,3/16/2017 10:00:00 AM,2908
FerryHD,Halifax to Dartmouth,1378,2019.03.31 - 2019.04.06,4/4/2019 10:00:00 AM,2909
FerryHD,Halifax to Dartmouth,1143,2019.12.15 - 2019.12.21,12/16/2019 10:00:00 AM,2910
FerryHW,Halifax to Woodside,1091,2017.03.12 - 2017.03.18,3/16/2017 10:00:00 AM,2911
FerryHW,Halifax to Woodside,1150,2019.03.31 - 2019.04.06,4/4/2019 10:00:00 AM,2912
FerryHW,Halifax to Woodside,0,2019.12.15 - 2019.12.21,12/16/2019 10:00:00 AM,2913
FerryWH,Woodside to Halifax,946,2017.03.12 - 2017.03.18,3/16/2017 10:00:00 AM,2914
FerryWH,Woodside to Halifax,1120,2019.03.31 - 2019.04.06,4/4/2019 10:00:00 AM,2915
FerryWH,Woodside to Halifax,967,2019.12.15 - 2019.12.21,12/16/2019 10:00:00 AM,2916
FerryDH,Dartmouth to Halifax,1859,2017.03.12 - 2017.03.18,3/17/2017 10:00:00 AM,2917
FerryDH,Dartmouth to Halifax,1717,2019.03.31 - 2019.04.06,4/5/2019 10:00:00 AM,2918
FerryDH,Dartmouth to Halifax,1373,2019.12.15 - 2019.12.21,12/17/2019 10:00:00 AM,2919
FerryHD,Halifax to Dartmouth,1815,2017.03.12 - 2017.03.18,3/17/2017 10:00:00 AM,2920
FerryHD,Halifax to Dartmouth,1697,2019.03.31 - 2019.04.06,4/5/2019 10:00:00 AM,2921
FerryHD,Halifax to Dartmouth,1391,2019.12.15 - 2019.12.21,12/17/2019 10:00:00 AM,2922
FerryHW,Halifax to Woodside,941,2017.03.12 - 2017.03.18,3/17/2017 10:00:00 AM,2923
FerryHW,Halifax to Woodside,1025,2019.03.31 - 2019.04.06,4/5/2019 10:00:00 AM,2924
FerryHW,Halifax to Woodside,1035,2019.12.15 - 2019.12.21,12/17/2019 10:00:00 AM,2925
FerryWH,Woodside to Halifax,965,2017.03.12 - 2017.03.18,3/17/2017 10:00:00 AM,2926
FerryWH,Woodside to Halifax,1022,2019.03.31 - 2019.04.06,4/5/2019 10:00:00 AM,2927
FerryWH,Woodside to Halifax,1041,2019.12.15 - 2019.12.21,12/17/2019 10:00:00 AM,2928
FerryDH,Dartmouth to Halifax,861,2019.03.31 - 2019.04.06,4/6/2019 10:00:00 AM,2929
FerryDH,Dartmouth to Halifax,1298,2017.03.12 - 2017.03.18,3/18/2017 10:00:00 AM,2930
FerryDH,Dartmouth to Halifax,1340,2019.12.15 - 2019.12.21,12/18/2019 10:00:00 AM,2931
FerryHD,Halifax to Dartmouth,802,2019.03.31 - 2019.04.06,4/6/2019 10:00:00 AM,2932
FerryHD,Halifax to Dartmouth,1266,2017.03.12 - 2017.03.18,3/18/2017 10:00:00 AM,2933
FerryHD,Halifax to Dartmouth,1366,2019.12.15 - 2019.12.21,12/18/2019 10:00:00 AM,2934
FerryHW,Halifax to Woodside,0,2019.03.31 - 2019.04.06,4/6/2019 10:00:00 AM,2935
FerryHW,Halifax to Woodside,0,2017.03.12 - 2017.03.18,3/18/2017 10:00:00 AM,2936
FerryHW,Halifax to Woodside,1066,2019.12.15 - 2019.12.21,12/18/2019 10:00:00 AM,2937
FerryWH,Woodside to Halifax,0,2019.03.31 - 2019.04.06,4/6/2019 10:00:00 AM,2938
FerryWH,Woodside to Halifax,0,2017.03.12 - 2017.03.18,3/18/2017 10:00:00 AM,2939
FerryWH,Woodside to Halifax,933,2019.12.15 - 2019.12.21,12/18/2019 10:00:00 AM,2940
FerryDH,Dartmouth to Halifax,1053,2019.04.07 - 2019.04.13,4/7/2019 10:00:00 AM,2941
FerryDH,Dartmouth to Halifax,468,2017.03.19 - 2017.03.25,3/19/2017 10:00:00 AM,2942
FerryDH,Dartmouth to Halifax,1206,2019.12.15 - 2019.12.21,12/19/2019 10:00:00 AM,2943
FerryHD,Halifax to Dartmouth,991,2019.04.07 - 2019.04.13,4/7/2019 10:00:00 AM,2944
FerryHD,Halifax to Dartmouth,483,2017.03.19 - 2017.03.25,3/19/2017 10:00:00 AM,2945
FerryHD,Halifax to Dartmouth,1330,2019.12.15 - 2019.12.21,12/19/2019 10:00:00 AM,2946
FerryHW,Halifax to Woodside,0,2019.04.07 - 2019.04.13,4/7/2019 10:00:00 AM,2947
FerryHW,Halifax to Woodside,0,2017.03.19 - 2017.03.25,3/19/2017 10:00:00 AM,2948
FerryHW,Halifax to Woodside,964,2019.12.15 - 2019.12.21,12/19/2019 10:00:00 AM,2949
FerryWH,Woodside to Halifax,0,2019.04.07 - 2019.04.13,4/7/2019 10:00:00 AM,2950
FerryWH,Woodside to Halifax,0,2017.03.19 - 2017.03.25,3/19/2017 10:00:00 AM,2951
FerryDH,Dartmouth to Halifax,1038,2019.04.07 - 2019.04.13,4/8/2019 10:00:00 AM,2952
FerryWH,Woodside to Halifax,959,2019.12.15 - 2019.12.21,12/19/2019 10:00:00 AM,2953
FerryDH,Dartmouth to Halifax,977,2017.03.19 - 2017.03.25,3/20/2017 10:00:00 AM,2954
FerryHD,Halifax to Dartmouth,1125,2019.04.07 - 2019.04.13,4/8/2019 10:00:00 AM,2955
FerryDH,Dartmouth to Halifax,1371,2019.12.15 - 2019.12.21,12/20/2019 10:00:00 AM,2956
FerryHD,Halifax to Dartmouth,1197,2017.03.19 - 2017.03.25,3/20/2017 10:00:00 AM,2957
FerryHW,Halifax to Woodside,1085,2019.04.07 - 2019.04.13,4/8/2019 10:00:00 AM,2958
FerryHD,Halifax to Dartmouth,1231,2019.12.15 - 2019.12.21,12/20/2019 10:00:00 AM,2959
FerryHW,Halifax to Woodside,967,2017.03.19 - 2017.03.25,3/20/2017 10:00:00 AM,2960
FerryWH,Woodside to Halifax,1055,2019.04.07 - 2019.04.13,4/8/2019 10:00:00 AM,2961
FerryHW,Halifax to Woodside,978,2019.12.15 - 2019.12.21,12/20/2019 10:00:00 AM,2962
FerryWH,Woodside to Halifax,951,2017.03.19 - 2017.03.25,3/20/2017 10:00:00 AM,2963
FerryDH,Dartmouth to Halifax,1063,2019.04.07 - 2019.04.13,4/9/2019 10:00:00 AM,2964
FerryWH,Woodside to Halifax,841,2019.12.15 - 2019.12.21,12/20/2019 10:00:00 AM,2965
FerryDH,Dartmouth to Halifax,1321,2017.03.19 - 2017.03.25,3/21/2017 10:00:00 AM,2966
FerryHD,Halifax to Dartmouth,1202,2019.04.07 - 2019.04.13,4/9/2019 10:00:00 AM,2967
FerryDH,Dartmouth to Halifax,856,2019.12.15 - 2019.12.21,12/21/2019 10:00:00 AM,2968
FerryHD,Halifax to Dartmouth,1640,2017.03.19 - 2017.03.25,3/21/2017 10:00:00 AM,2969
FerryHW,Halifax to Woodside,1019,2019.04.07 - 2019.04.13,4/9/2019 10:00:00 AM,2970
FerryHD,Halifax to Dartmouth,760,2019.12.15 - 2019.12.21,12/21/2019 10:00:00 AM,2971
FerryHW,Halifax to Woodside,1284,2017.03.19 - 2017.03.25,3/21/2017 10:00:00 AM,2972
FerryWH,Woodside to Halifax,962,2019.04.07 - 2019.04.13,4/9/2019 10:00:00 AM,2973
FerryHW,Halifax to Woodside,904,2019.12.15 - 2019.12.21,12/21/2019 10:00:00 AM,2974
FerryWH,Woodside to Halifax,1226,2017.03.19 - 2017.03.25,3/21/2017 10:00:00 AM,2975
FerryDH,Dartmouth to Halifax,1204,2019.04.07 - 2019.04.13,4/10/2019 10:00:00 AM,2976
FerryWH,Woodside to Halifax,0,2019.12.15 - 2019.12.21,12/21/2019 10:00:00 AM,2977
FerryDH,Dartmouth to Halifax,1452,2017.03.19 - 2017.03.25,3/22/2017 10:00:00 AM,2978
FerryHD,Halifax to Dartmouth,1278,2019.04.07 - 2019.04.13,4/10/2019 10:00:00 AM,2979
FerryDH,Dartmouth to Halifax,395,2019.12.22 - 2019.12.28,12/22/2019 10:00:00 AM,2980
FerryHD,Halifax to Dartmouth,1728,2017.03.19 - 2017.03.25,3/22/2017 10:00:00 AM,2981
FerryHW,Halifax to Woodside,1137,2019.04.07 - 2019.04.13,4/10/2019 10:00:00 AM,2982
FerryHD,Halifax to Dartmouth,345,2019.12.22 - 2019.12.28,12/22/2019 10:00:00 AM,2983
FerryHW,Halifax to Woodside,1261,2017.03.19 - 2017.03.25,3/22/2017 10:00:00 AM,2984
FerryHW,Halifax to Woodside,0,2019.12.22 - 2019.12.28,12/22/2019 10:00:00 AM,2985
FerryWH,Woodside to Halifax,1093,2019.04.07 - 2019.04.13,4/10/2019 10:00:00 AM,2986
FerryWH,Woodside to Halifax,1195,2017.03.19 - 2017.03.25,3/22/2017 10:00:00 AM,2987
FerryWH,Woodside to Halifax,0,2019.12.22 - 2019.12.28,12/22/2019 10:00:00 AM,2988
FerryDH,Dartmouth to Halifax,1321,2019.04.07 - 2019.04.13,4/11/2019 10:00:00 AM,2989
FerryDH,Dartmouth to Halifax,1201,2017.03.19 - 2017.03.25,3/23/2017 10:00:00 AM,2990
FerryDH,Dartmouth to Halifax,856,2019.12.22 - 2019.12.28,12/23/2019 10:00:00 AM,2991
FerryHD,Halifax to Dartmouth,1467,2019.04.07 - 2019.04.13,4/11/2019 10:00:00 AM,2992
FerryHD,Halifax to Dartmouth,1458,2017.03.19 - 2017.03.25,3/23/2017 10:00:00 AM,2993
FerryHD,Halifax to Dartmouth,925,2019.12.22 - 2019.12.28,12/23/2019 10:00:00 AM,2994
FerryHW,Halifax to Woodside,1134,2019.04.07 - 2019.04.13,4/11/2019 10:00:00 AM,2995
FerryHW,Halifax to Woodside,1195,2017.03.19 - 2017.03.25,3/23/2017 10:00:00 AM,2996
FerryHW,Halifax to Woodside,645,2019.12.22 - 2019.12.28,12/23/2019 10:00:00 AM,2997
FerryWH,Woodside to Halifax,1096,2019.04.07 - 2019.04.13,4/11/2019 10:00:00 AM,2998
FerryWH,Woodside to Halifax,1080,2017.03.19 - 2017.03.25,3/23/2017 10:00:00 AM,2999
FerryWH,Woodside to Halifax,600,2019.12.22 - 2019.12.28,12/23/2019 10:00:00 AM,3000
FerryDH,Dartmouth to Halifax,1748,2019.04.07 - 2019.04.13,4/12/2019 10:00:00 AM,3001
FerryDH,Dartmouth to Halifax,1392,2017.03.19 - 2017.03.25,3/24/2017 10:00:00 AM,3002
FerryDH,Dartmouth to Halifax,501,2019.12.22 - 2019.12.28,12/24/2019 10:00:00 AM,3003
FerryHD,Halifax to Dartmouth,1448,2017.03.19 - 2017.03.25,3/24/2017 10:00:00 AM,3004
FerryHD,Halifax to Dartmouth,1849,2019.04.07 - 2019.04.13,4/12/2019 10:00:00 AM,3005
FerryHD,Halifax to Dartmouth,560,2019.12.22 - 2019.12.28,12/24/2019 10:00:00 AM,3006
FerryHW,Halifax to Woodside,1129,2017.03.19 - 2017.03.25,3/24/2017 10:00:00 AM,3007
FerryHW,Halifax to Woodside,1078,2019.04.07 - 2019.04.13,4/12/2019 10:00:00 AM,3008
FerryHW,Halifax to Woodside,381,2019.12.22 - 2019.12.28,12/24/2019 10:00:00 AM,3009
FerryWH,Woodside to Halifax,1096,2019.04.07 - 2019.04.13,4/12/2019 10:00:00 AM,3010
FerryWH,Woodside to Halifax,1129,2017.03.19 - 2017.03.25,3/24/2017 10:00:00 AM,3011
FerryWH,Woodside to Halifax,415,2019.12.22 - 2019.12.28,12/24/2019 10:00:00 AM,3012
FerryDH,Dartmouth to Halifax,982,2019.04.07 - 2019.04.13,4/13/2019 10:00:00 AM,3013
FerryDH,Dartmouth to Halifax,1172,2017.03.19 - 2017.03.25,3/25/2017 10:00:00 AM,3014
FerryDH,Dartmouth to Halifax,0,2019.12.22 - 2019.12.28,12/25/2019 10:00:00 AM,3015
FerryHD,Halifax to Dartmouth,852,2019.04.07 - 2019.04.13,4/13/2019 10:00:00 AM,3016
FerryHD,Halifax to Dartmouth,1124,2017.03.19 - 2017.03.25,3/25/2017 10:00:00 AM,3017
FerryHD,Halifax to Dartmouth,0,2019.12.22 - 2019.12.28,12/25/2019 10:00:00 AM,3018
FerryHW,Halifax to Woodside,0,2019.04.07 - 2019.04.13,4/13/2019 10:00:00 AM,3019
FerryHW,Halifax to Woodside,0,2017.03.19 - 2017.03.25,3/25/2017 10:00:00 AM,3020
FerryHW,Halifax to Woodside,0,2019.12.22 - 2019.12.28,12/25/2019 10:00:00 AM,3021
FerryWH,Woodside to Halifax,0,2019.04.07 - 2019.04.13,4/13/2019 10:00:00 AM,3022
FerryWH,Woodside to Halifax,0,2017.03.19 - 2017.03.25,3/25/2017 10:00:00 AM,3023
FerryWH,Woodside to Halifax,0,2019.12.22 - 2019.12.28,12/25/2019 10:00:00 AM,3024
FerryDH,Dartmouth to Halifax,706,2017.03.26 - 2017.04.01,3/26/2017 10:00:00 AM,3025
FerryDH,Dartmouth to Halifax,1309,2019.04.14 - 2019.04.20,4/14/2019 10:00:00 AM,3026
FerryDH,Dartmouth to Halifax,204,2019.12.22 - 2019.12.28,12/26/2019 10:00:00 AM,3027
FerryHD,Halifax to Dartmouth,727,2017.03.26 - 2017.04.01,3/26/2017 10:00:00 AM,3028
FerryHD,Halifax to Dartmouth,1354,2019.04.14 - 2019.04.20,4/14/2019 10:00:00 AM,3029
FerryHD,Halifax to Dartmouth,186,2019.12.22 - 2019.12.28,12/26/2019 10:00:00 AM,3030
FerryHW,Halifax to Woodside,0,2017.03.26 - 2017.04.01,3/26/2017 10:00:00 AM,3031
FerryHW,Halifax to Woodside,0,2019.04.14 - 2019.04.20,4/14/2019 10:00:00 AM,3032
FerryHW,Halifax to Woodside,0,2019.12.22 - 2019.12.28,12/26/2019 10:00:00 AM,3033
FerryWH,Woodside to Halifax,0,2017.03.26 - 2017.04.01,3/26/2017 10:00:00 AM,3034
FerryWH,Woodside to Halifax,0,2019.04.14 - 2019.04.20,4/14/2019 10:00:00 AM,3035
FerryWH,Woodside to Halifax,0,2019.12.22 - 2019.12.28,12/26/2019 10:00:00 AM,3036
FerryDH,Dartmouth to Halifax,1162,2017.03.26 - 2017.04.01,3/27/2017 10:00:00 AM,3037
FerryDH,Dartmouth to Halifax,982,2019.04.14 - 2019.04.20,4/15/2019 10:00:00 AM,3038
FerryDH,Dartmouth to Halifax,671,2019.12.22 - 2019.12.28,12/27/2019 10:00:00 AM,3039
FerryHD,Halifax to Dartmouth,1046,2019.04.14 - 2019.04.20,4/15/2019 10:00:00 AM,3040
FerryHD,Halifax to Dartmouth,1431,2017.03.26 - 2017.04.01,3/27/2017 10:00:00 AM,3041
FerryHD,Halifax to Dartmouth,698,2019.12.22 - 2019.12.28,12/27/2019 10:00:00 AM,3042
FerryHW,Halifax to Woodside,956,2019.04.14 - 2019.04.20,4/15/2019 10:00:00 AM,3043
FerryHW,Halifax to Woodside,1218,2017.03.26 - 2017.04.01,3/27/2017 10:00:00 AM,3044
FerryHW,Halifax to Woodside,0,2019.12.22 - 2019.12.28,12/27/2019 10:00:00 AM,3045
FerryWH,Woodside to Halifax,927,2019.04.14 - 2019.04.20,4/15/2019 10:00:00 AM,3046
FerryWH,Woodside to Halifax,1167,2017.03.26 - 2017.04.01,3/27/2017 10:00:00 AM,3047
FerryWH,Woodside to Halifax,331,2019.12.22 - 2019.12.28,12/27/2019 10:00:00 AM,3048
FerryDH,Dartmouth to Halifax,1167,2019.04.14 - 2019.04.20,4/16/2019 10:00:00 AM,3049
FerryDH,Dartmouth to Halifax,1288,2017.03.26 - 2017.04.01,3/28/2017 10:00:00 AM,3050
FerryDH,Dartmouth to Halifax,874,2019.12.22 - 2019.12.28,12/28/2019 10:00:00 AM,3051
FerryHD,Halifax to Dartmouth,1215,2019.04.14 - 2019.04.20,4/16/2019 10:00:00 AM,3052
FerryHD,Halifax to Dartmouth,1529,2017.03.26 - 2017.04.01,3/28/2017 10:00:00 AM,3053
FerryHD,Halifax to Dartmouth,834,2019.12.22 - 2019.12.28,12/28/2019 10:00:00 AM,3054
FerryHW,Halifax to Woodside,1103,2019.04.14 - 2019.04.20,4/16/2019 10:00:00 AM,3055
FerryHW,Halifax to Woodside,1059,2017.03.26 - 2017.04.01,3/28/2017 10:00:00 AM,3056
FerryHW,Halifax to Woodside,383,2019.12.22 - 2019.12.28,12/28/2019 10:00:00 AM,3057
FerryWH,Woodside to Halifax,1081,2019.04.14 - 2019.04.20,4/16/2019 10:00:00 AM,3058
FerryWH,Woodside to Halifax,1037,2017.03.26 - 2017.04.01,3/28/2017 10:00:00 AM,3059
FerryWH,Woodside to Halifax,0,2019.12.22 - 2019.12.28,12/28/2019 10:00:00 AM,3060
FerryDH,Dartmouth to Halifax,1152,2019.04.14 - 2019.04.20,4/17/2019 10:00:00 AM,3061
FerryDH,Dartmouth to Halifax,1280,2017.03.26 - 2017.04.01,3/29/2017 10:00:00 AM,3062
FerryDH,Dartmouth to Halifax,555,2019.12.29 - 2020.01.04,12/29/2019 10:00:00 AM,3063
FerryHD,Halifax to Dartmouth,1327,2019.04.14 - 2019.04.20,4/17/2019 10:00:00 AM,3064
FerryHD,Halifax to Dartmouth,1529,2017.03.26 - 2017.04.01,3/29/2017 10:00:00 AM,3065
FerryHD,Halifax to Dartmouth,527,2019.12.29 - 2020.01.04,12/29/2019 10:00:00 AM,3066
FerryHW,Halifax to Woodside,1151,2019.04.14 - 2019.04.20,4/17/2019 10:00:00 AM,3067
FerryHW,Halifax to Woodside,1157,2017.03.26 - 2017.04.01,3/29/2017 10:00:00 AM,3068
FerryHW,Halifax to Woodside,0,2019.12.29 - 2020.01.04,12/29/2019 10:00:00 AM,3069
FerryWH,Woodside to Halifax,1095,2019.04.14 - 2019.04.20,4/17/2019 10:00:00 AM,3070
FerryWH,Woodside to Halifax,937,2017.03.26 - 2017.04.01,3/29/2017 10:00:00 AM,3071
FerryWH,Woodside to Halifax,0,2019.12.29 - 2020.01.04,12/29/2019 10:00:00 AM,3072
FerryDH,Dartmouth to Halifax,1510,2019.04.14 - 2019.04.20,4/18/2019 10:00:00 AM,3073
FerryDH,Dartmouth to Halifax,1165,2017.03.26 - 2017.04.01,3/30/2017 10:00:00 AM,3074
FerryDH,Dartmouth to Halifax,815,2019.12.29 - 2020.01.04,12/30/2019 10:00:00 AM,3075
FerryHD,Halifax to Dartmouth,1626,2019.04.14 - 2019.04.20,4/18/2019 10:00:00 AM,3076
FerryHD,Halifax to Dartmouth,1442,2017.03.26 - 2017.04.01,3/30/2017 10:00:00 AM,3077
FerryHD,Halifax to Dartmouth,887,2019.12.29 - 2020.01.04,12/30/2019 10:00:00 AM,3078
FerryHW,Halifax to Woodside,1094,2019.04.14 - 2019.04.20,4/18/2019 10:00:00 AM,3079
FerryHW,Halifax to Woodside,1183,2017.03.26 - 2017.04.01,3/30/2017 10:00:00 AM,3080
FerryHW,Halifax to Woodside,0,2019.12.29 - 2020.01.04,12/30/2019 10:00:00 AM,3081
FerryWH,Woodside to Halifax,1086,2019.04.14 - 2019.04.20,4/18/2019 10:00:00 AM,3082
FerryWH,Woodside to Halifax,1009,2017.03.26 - 2017.04.01,3/30/2017 10:00:00 AM,3083
FerryWH,Woodside to Halifax,586,2019.12.29 - 2020.01.04,12/30/2019 10:00:00 AM,3084
FerryDH,Dartmouth to Halifax,0,2019.04.14 - 2019.04.20,4/19/2019 10:00:00 AM,3085
FerryDH,Dartmouth to Halifax,1497,2017.03.26 - 2017.04.01,3/31/2017 10:00:00 AM,3086
FerryDH,Dartmouth to Halifax,907,2019.12.29 - 2020.01.04,12/31/2019 10:00:00 AM,3087
FerryHD,Halifax to Dartmouth,0,2019.04.14 - 2019.04.20,4/19/2019 10:00:00 AM,3088
FerryHD,Halifax to Dartmouth,1491,2017.03.26 - 2017.04.01,3/31/2017 10:00:00 AM,3089
FerryHD,Halifax to Dartmouth,988,2019.12.29 - 2020.01.04,12/31/2019 10:00:00 AM,3090
FerryHW,Halifax to Woodside,0,2019.04.14 - 2019.04.20,4/19/2019 10:00:00 AM,3091
FerryHW,Halifax to Woodside,1082,2017.03.26 - 2017.04.01,3/31/2017 10:00:00 AM,3092
FerryHW,Halifax to Woodside,561,2019.12.29 - 2020.01.04,12/31/2019 10:00:00 AM,3093
FerryWH,Woodside to Halifax,950,2017.03.26 - 2017.04.01,3/31/2017 10:00:00 AM,3094
FerryWH,Woodside to Halifax,0,2019.04.14 - 2019.04.20,4/19/2019 10:00:00 AM,3095
FerryWH,Woodside to Halifax,474,2019.12.29 - 2020.01.04,12/31/2019 10:00:00 AM,3096
FerryDH,Dartmouth to Halifax,1053,2017.03.26 - 2017.04.01,4/1/2017 10:00:00 AM,3097
FerryDH,Dartmouth to Halifax,1018,2019.04.14 - 2019.04.20,4/20/2019 10:00:00 AM,3098
FerryDH,Dartmouth to Halifax,0,2019.12.29 - 2020.01.04,1/1/2020 10:00:00 AM,3099
FerryHD,Halifax to Dartmouth,953,2017.03.26 - 2017.04.01,4/1/2017 10:00:00 AM,3100
FerryHD,Halifax to Dartmouth,1041,2019.04.14 - 2019.04.20,4/20/2019 10:00:00 AM,3101
FerryHD,Halifax to Dartmouth,0,2019.12.29 - 2020.01.04,1/1/2020 10:00:00 AM,3102
FerryHW,Halifax to Woodside,0,2017.03.26 - 2017.04.01,4/1/2017 10:00:00 AM,3103
FerryHW,Halifax to Woodside,0,2019.04.14 - 2019.04.20,4/20/2019 10:00:00 AM,3104
FerryHW,Halifax to Woodside,0,2019.12.29 - 2020.01.04,1/1/2020 10:00:00 AM,3105
FerryWH,Woodside to Halifax,0,2017.03.26 - 2017.04.01,4/1/2017 10:00:00 AM,3106
FerryWH,Woodside to Halifax,0,2019.04.14 - 2019.04.20,4/20/2019 10:00:00 AM,3107
FerryWH,Woodside to Halifax,0,2019.12.29 - 2020.01.04,1/1/2020 10:00:00 AM,3108
FerryDH,Dartmouth to Halifax,413,2017.04.02 - 2017.04.08,4/2/2017 10:00:00 AM,3109
FerryDH,Dartmouth to Halifax,433,2019.04.21 - 2019.04.27,4/21/2019 10:00:00 AM,3110
FerryDH,Dartmouth to Halifax,1002,2019.12.29 - 2020.01.04,1/2/2020 10:00:00 AM,3111
FerryHD,Halifax to Dartmouth,482,2017.04.02 - 2017.04.08,4/2/2017 10:00:00 AM,3112
FerryHD,Halifax to Dartmouth,410,2019.04.21 - 2019.04.27,4/21/2019 10:00:00 AM,3113
FerryHD,Halifax to Dartmouth,1042,2019.12.29 - 2020.01.04,1/2/2020 10:00:00 AM,3114
FerryHW,Halifax to Woodside,0,2017.04.02 - 2017.04.08,4/2/2017 10:00:00 AM,3115
FerryHW,Halifax to Woodside,0,2019.04.21 - 2019.04.27,4/21/2019 10:00:00 AM,3116
